Months,Days,date time,Average of temp,Average of humid,Average of wind speed
May,5-May,6 AM,34.4,55.9,2.3
May,5-May,7 AM,34.3,55.5,2.3
May,5-May,8 AM,30.4,50.7,2.4
May,5-May,9 AM,26.7,45.0,2.5
May,5-May,10 AM,26.3,45.0,2.5
May,5-May,11 AM,26.1,43.3,2.5
May,5-May,12 PM,25.8,42.6,2.5
May,5-May,1 PM,25.7,41.6,2.5
May,5-May,2 PM,25.6,41.8,2.5
May,5-May,3 PM,27.6,50.3,2.4
May,5-May,4 PM,35.6,54.1,2.3
May,5-May,5 PM,38.8,48.4,2.2
May,5-May,6 PM,37.5,50.1,2.2
May,5-May,7 PM,35.5,54.9,2.2
May,5-May,8 PM,35.0,57.2,2.2
May,5-May,9 PM,34.6,59.9,2.3
May,5-May,10 PM,34.2,62.0,2.3
May,5-May,11 PM,34.0,62.1,2.3
May,6-May,12 AM,33.9,62.5,2.3
May,6-May,1 AM,33.8,63.3,2.3
May,6-May,2 AM,33.6,63.6,2.3
May,6-May,3 AM,33.4,64.2,2.3
May,6-May,4 AM,33.4,63.9,2.3
May,6-May,5 AM,33.4,64.3,2.3
May,6-May,6 AM,33.4,64.2,2.3
May,6-May,7 AM,33.6,61.5,2.3
May,6-May,8 AM,34.8,58.7,2.3
May,6-May,9 AM,36.0,56.7,2.2
May,6-May,10 AM,36.7,55.1,2.2
May,6-May,11 AM,37.6,53.5,2.2
May,6-May,12 PM,38.4,51.5,2.2
May,6-May,1 PM,38.2,52.6,2.2
May,6-May,2 PM,38.7,51.1,2.2
May,6-May,3 PM,38.7,52.0,2.2
May,6-May,4 PM,37.5,52.3,2.2
May,6-May,5 PM,33.9,61.9,2.3
May,6-May,6 PM,33.7,63.8,2.3
May,6-May,7 PM,33.7,64.2,2.3
May,6-May,8 PM,33.9,64.1,2.3
May,6-May,9 PM,34.0,64.5,2.3
May,6-May,10 PM,33.9,65.3,2.3
May,6-May,11 PM,33.5,66.5,2.3
May,7-May,12 AM,33.7,66.4,2.3
May,7-May,7 AM,33.8,66.2,2.3
May,7-May,8 AM,34.4,65.6,2.3
May,7-May,9 AM,35.9,61.3,2.2
May,7-May,10 AM,37.4,56.8,2.2
May,7-May,11 AM,38.5,53.3,2.2
May,7-May,12 PM,36.5,55.3,2.2
May,7-May,1 PM,34.6,62.4,2.3
May,7-May,2 PM,33.3,67.5,2.3
May,7-May,3 PM,33.3,69.0,2.3
May,7-May,4 PM,34.0,67.8,2.3
May,7-May,5 PM,33.8,68.7,2.3
May,7-May,6 PM,33.6,69.5,2.3
May,7-May,7 PM,33.9,68.6,2.3
May,7-May,8 PM,34.0,67.8,2.3
May,7-May,9 PM,33.8,67.9,2.3
May,7-May,10 PM,33.8,67.1,2.3
May,7-May,11 PM,33.5,67.3,2.3
May,8-May,12 AM,33.4,66.8,2.3
May,8-May,1 AM,32.8,69.8,2.3
May,8-May,2 AM,33.0,68.3,2.3
May,8-May,3 AM,33.1,67.7,2.3
May,8-May,4 AM,33.1,67.4,2.3
May,8-May,5 AM,32.7,67.8,2.3
May,8-May,6 AM,32.3,69.4,2.3
May,8-May,7 AM,33.3,68.4,2.3
May,8-May,8 AM,34.2,65.7,2.3
May,8-May,9 AM,34.4,66.2,2.3
May,8-May,10 AM,35.3,65.0,2.2
May,8-May,11 AM,37.2,59.0,2.2
May,8-May,12 PM,36.8,57.2,2.2
May,8-May,1 PM,35.1,62.1,2.2
May,8-May,2 PM,35.1,61.5,2.2
May,8-May,3 PM,35.5,59.7,2.2
May,8-May,4 PM,35.7,57.0,2.2
May,8-May,5 PM,35.6,55.5,2.2
May,8-May,6 PM,34.9,58.0,2.3
May,8-May,7 PM,34.2,60.5,2.3
May,8-May,8 PM,34.0,63.2,2.3
May,8-May,9 PM,34.0,63.3,2.3
May,8-May,10 PM,33.8,64.0,2.3
May,8-May,11 PM,33.6,65.4,2.3
May,9-May,12 AM,33.5,65.3,2.3
May,9-May,1 AM,33.4,64.9,2.3
May,9-May,2 AM,33.5,64.4,2.3
May,9-May,3 AM,33.1,65.5,2.3
May,9-May,4 AM,33.2,65.8,2.3
May,9-May,5 AM,33.3,65.7,2.3
May,9-May,6 AM,33.4,66.0,2.3
May,9-May,7 AM,34.1,65.0,2.3
May,9-May,8 AM,35.8,58.5,2.2
May,9-May,9 AM,35.0,58.5,2.2
May,9-May,10 AM,35.0,59.6,2.2
May,9-May,11 AM,35.7,58.5,2.2
May,9-May,12 PM,35.9,58.9,2.2
May,9-May,1 PM,35.7,58.1,2.2
May,9-May,2 PM,36.5,55.7,2.2
May,9-May,3 PM,37.3,52.9,2.2
May,9-May,4 PM,38.2,52.7,2.2
May,9-May,5 PM,35.8,61.4,2.2
May,9-May,6 PM,35.7,61.5,2.2
May,9-May,7 PM,34.1,65.0,2.3
May,9-May,8 PM,33.5,65.2,2.3
May,9-May,9 PM,33.5,66.0,2.3
May,9-May,10 PM,33.5,65.7,2.3
May,9-May,11 PM,33.6,66.1,2.3
May,10-May,12 AM,33.6,66.5,2.3
May,10-May,1 AM,33.0,68.0,2.3
May,10-May,2 AM,33.4,67.9,2.3
May,10-May,3 AM,33.4,67.6,2.3
May,10-May,4 AM,33.3,67.6,2.3
May,10-May,11 AM,27.9,64.1,2.8
May,11-May,10 AM,35.9,61.0,3.5
May,11-May,11 AM,39.2,53.7,4.5
May,11-May,12 PM,39.9,51.7,4.0
May,11-May,1 PM,38.4,56.5,3.8
May,11-May,2 PM,40.5,50.7,3.7
May,11-May,3 PM,40.2,51.0,4.1
May,11-May,4 PM,38.9,51.8,4.3
May,11-May,5 PM,36.8,57.7,4.3
May,11-May,6 PM,36.0,59.6,5.1
May,11-May,7 PM,35.1,62.9,0.7
May,11-May,8 PM,34.5,65.7,0.8
May,11-May,9 PM,33.9,68.3,1.6
May,11-May,10 PM,33.5,69.6,0.9
May,11-May,11 PM,33.2,71.1,0.7
May,12-May,12 AM,33.0,72.4,2.5
May,12-May,1 AM,32.5,73.8,0.8
May,12-May,2 AM,32.0,75.4,0.6
May,12-May,3 AM,31.9,75.5,0.7
May,12-May,4 AM,31.6,75.9,4.9
May,12-May,5 AM,31.4,75.5,1.6
May,12-May,6 AM,31.7,74.6,1.3
May,12-May,7 AM,32.8,74.1,0.9
May,12-May,8 AM,35.8,69.3,3.9
May,12-May,9 AM,37.4,63.2,3.6
May,12-May,10 AM,40.4,55.9,3.2
May,12-May,11 AM,40.6,52.6,2.9
May,12-May,12 PM,41.0,51.0,2.8
May,12-May,1 PM,42.0,48.0,2.9
May,12-May,2 PM,42.5,46.2,2.9
